old_bitcoin_address,,,btc_amount,usd amount
326KUkMX52YtrCWz2M1Nj8GeRmQoWYGF9j,,,,
326XScciKN5iK8wPobreFpmGZdU7evogEE,,,,
326aBrG5SdDYS1EvzhzTgHjCKtTeSmHJhF,,,,
326ssjKN5MCXfVJdan5T7YxbiwWkm4L2UN,,,,
326yUApNL6RbaeWs1sk37GhUaG25DgPLYY,,,,
326yrYEzavkXaUjx6DCb2Yi9VEwPJqvVSC,,,,
32717v2Lr7yDzpr7swxLGoJcP9ruLaNBpA,,,,
327CnySVyttD3fshpQR5FmhJh7qaPwo8hQ,,,,
327YsTrFqhXGdZSjKyG5EU8L7ZaXKMatHH,,,,
327pK4zmbCR1zCMCZT7u2ubmJzyqh1A5cp,,,,
327phgtLdDkE3aT4Fe4paavaNy8i6SHCu4,,,,
327wFH4aWU2L7FNUQe7UDyd1H3SLeUCf24,,,,
328DR59X1jSYbA3GxDJWVQA9TxS68yCfCK,,,,
328Md2oVppHzk3aMpqXwvZgRfp7xWbHSsq,,,,
329DhdyPTqLGXSkw5TmiYDLLzgTtqbobLw,,,,
329LHsZY54qZ1NMn38waysgwX7emzJx1Jd,,,,
329j3GWtebf6Tj971UcjeeaN4YNyZNox9N,,,,
329jqChMLirLWVFnfB6zs9PdqU8iuFii4z,,,,
32A9ydkBNSSweEUUYBZVZc1JpGib3jhh7b,,,,
32AnD3hdTn2GdHn3rBMgfUwSo6VeyYARNQ,,,,
32Ay1iYj1fUYYMnWEbsxK3hpjhwAEoaP2L,,,,
32B5jWxbmoBvJsNWbnfUpeviqXfWyvV1qE,,,,
32B6eWRuGGpbYvQpQSHwQZSYLG5nev1bEX,,,,
32B919wp785csQjqfDGu4E2S9UMEGrQogd,,,,
32BCYhJoB8jpmGbrLLFKe55gmNbUiV99Da,,,,
32CBY7BRVVQ6EzECRogRms3cEUMyqhMHkN,,,,
32CG94ADHfEkjKPVmay4HPwAM2Xrq3PcWY,,,,
32CJTUZxwVkDGBdcnt5YphFFMbyhPSqF6t,,,,
32CS9wq4tobGdsu2bPu5RXQjSMgcMDrnyf,,,,
32CgaRgcyATfZ5BzbfkBVzV7zAMFah3HJo,,,,
32CjdCHQF2S1c4fRZQBkcTiLKwzY6vwHvK,,,,
32CoimnMr1PJWPb3vr4ZYwPYtRim8YFML1,,,,
32Cq6udYMj7VGNzjQTcSFKLfQrT9GxwkBc,,,,
32D4FXM4ggCG74cVAC8zi7qSKxshdtMr6w,,,,
32DDh49m6aGKP6F4H45VFiv29Vu1JBcGXm,,,,
32DMPZq8hnfVSSyj4GreWJjSSbNaujwCDY,,,,
32DTrzvFK1UaANnmxuLSnnDBHrK3nZMcyu,,,,
32EQybQbCfeNht3AfugSrr67Qea7V93MBC,,,,
32ETwHsu4WixiH7hGpUuntxsSdBX9CRRS6,,,,
32EWmpvZq78cUKiTR9E1EwQqkxebeUyk4p,,,,
32Edrfg4ZDMABiBkTpsUiRbcU5wGVhGeDq,,,,
32EhZa1cQuPdPYevCqGRqcMG4NGSvz5Eku,,,,
32F2PCiSQChzKLr2oUJJkb9pWFsV8xHKSu,,,,
32FMcVdjE1H3eL32EDVwVCjQCK74EZUVb4,,,,
32FW3uFJXfEi4JF8QmnuW8TSXdzyATyhqU,,,,
32FzQUmr8ybPYQTeJ7LPvBrEUDaxoLcnRj,,,,
32G9pMqcqzv443QnffniyT7xKUSuN5impn,,,,
32GTd7X5ARErwdPCNiL6wT1TYEice63xqP,,,,
32GU1U8HQ2UJ1PAKAdqkyHzmHNMKdvMSCJ,,,,
32Gcg4ZBRDUeEpwAyZbsGQ3yGG8mhJCvFs,,,,
32Gpk2cgJqVWx5Hg8gBH6vbD2mhwXTQRZu,,,,
32HCfx8qieec5Sbn4iDRujuWEUr518BngX,,,,
32HTCRdcej58ekHgkimFoKDeZyeA5ZtcSJ,,,,
32HYn63y3UXoDf14bv3qFbPhoQDvmPhkTe,,,,
32J3uvz15ZiJ3DceeHCfJ5JTL3C7j6BTm4,,,,
